DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
31/12/2018;5;Santa Eulàlia Nord;20054;8536;ABS_05
31/12/2018;11;Gornal;8868;3830;ABS_11
31/12/2018;1;Centre;29144;12971;ABS_01
31/12/2018;8;Florida Sud;23770;8661;ABS_08
31/12/2018;4;Torrassa;27142;10702;ABS_04
31/12/2018;2;Sant Josep;23025;9657;ABS_02
31/12/2018;9;Pubilla Cases;30300;11591;ABS_09
31/12/2018;7;Florida Nord;22340;8156;ABS_07
31/12/2018;12;Bellvitge;24842;10082;ABS_12
31/12/2018;3;Collblanc;26096;10674;ABS_03
31/12/2018;6;Santa Eulàlia Sud;24160;10265;ABS_06
31/12/2018;10;Can Serra;10159;4204;ABS_10
