DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
31/12/2019;4;Torrassa;28407;10726;ABS_04
31/12/2019;12;Bellvitge;25082;10083;ABS_12
31/12/2019;3;Collblanc;26920;10696;ABS_03
31/12/2019;2;Sant Josep;23461;9666;ABS_02
31/12/2019;11;Gornal;9198;3925;ABS_11
31/12/2019;1;Centre;30040;13169;ABS_01
31/12/2019;9;Pubilla Cases;31313;11590;ABS_09
31/12/2019;5;Santa Eulàlia Nord;20674;8683;ABS_05
31/12/2019;7;Florida Nord;23124;8160;ABS_07
31/12/2019;6;Santa Eulàlia Sud;24885;10262;ABS_06
31/12/2019;8;Florida Sud;24381;8661;ABS_08
31/12/2019;10;Can Serra;10281;4205;ABS_10
