AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2011;621;25-34;101;123;224;SEC_621
2011;214;65-74;45;27;72;SEC_214
2011;621;16-17;16;13;29;SEC_621
2011;111;65-74;66;49;115;SEC_111
2011;139;18-24;27;29;56;SEC_139
2011;527;16-17;10;5;15;SEC_527
2011;226;25-34;104;116;220;SEC_226
2011;524;35-49;157;190;347;SEC_524
2011;107;03-11;71;81;152;SEC_107
2011;120;00-02;22;26;48;SEC_120
2011;238;50-64;68;68;136;SEC_238
2011;408;18-24;33;37;70;SEC_408
2011;236;00-02;12;17;29;SEC_236
2011;527;65-74;46;29;75;SEC_527
2011;508;18-24;30;23;53;SEC_508
2011;406;18-24;61;48;109;SEC_406
2011;140;18-24;25;37;62;SEC_140
2011;624;75 i +;54;25;79;SEC_624
2011;325;00-02;19;27;46;SEC_325
2011;104;00-02;10;12;22;SEC_104
2011;622;50-64;104;85;189;SEC_622
2011;505;03-11;34;38;72;SEC_505
2011;116;35-49;162;170;332;SEC_116
2011;246;25-34;111;101;212;SEC_246
2011;608;12-15;13;7;20;SEC_608
2011;530;18-24;64;62;126;SEC_530
2011;134;75 i +;77;39;116;SEC_134
2011;534;50-64;84;78;162;SEC_534
2011;139;00-02;13;12;25;SEC_139
2011;139;75 i +;35;27;62;SEC_139
2011;434;12-15;11;11;22;SEC_434
2011;247;00-02;33;28;61;SEC_247
2011;115;18-24;40;54;94;SEC_115
2011;419;65-74;49;28;77;SEC_419
2011;538;35-49;153;144;297;SEC_538
2011;134;18-24;42;42;84;SEC_134
2011;135;35-49;187;181;368;SEC_135
2011;417;75 i +;37;23;60;SEC_417
2011;236;25-34;77;87;164;SEC_236
2011;507;35-49;103;109;212;SEC_507
2011;215;75 i +;66;32;98;SEC_215
2011;245;16-17;2;9;11;SEC_245
2011;231;00-02;14;27;41;SEC_231
2011;437;00-02;17;17;34;SEC_437
2011;615;50-64;81;44;125;SEC_615
2011;417;00-02;14;23;37;SEC_417
2011;417;03-11;36;42;78;SEC_417
2011;415;35-49;97;146;243;SEC_415
2011;524;03-11;57;62;119;SEC_524
2011;603;35-49;80;79;159;SEC_603
2011;308;03-11;106;114;220;SEC_308
2011;234;35-49;135;144;279;SEC_234
2011;114;65-74;120;100;220;SEC_114
2011;625;00-02;10;12;22;SEC_625
2011;219;18-24;59;52;111;SEC_219
2011;538;65-74;77;42;119;SEC_538
2011;527;00-02;18;21;39;SEC_527
2011;208;16-17;8;15;23;SEC_208
2011;609;75 i +;33;29;62;SEC_609
2011;108;50-64;149;125;274;SEC_108
2011;130;50-64;62;63;125;SEC_130
2011;307;18-24;30;48;78;SEC_307
2011;205;00-02;10;8;18;SEC_205
2011;322;12-15;28;29;57;SEC_322
2011;132;65-74;97;102;199;SEC_132
2011;318;03-11;24;37;61;SEC_318
2011;403;18-24;36;39;75;SEC_403
2011;433;03-11;60;63;123;SEC_433
2011;629;03-11;27;12;39;SEC_629
2011;216;35-49;142;135;277;SEC_216
2011;615;16-17;5;6;11;SEC_615
2011;602;75 i +;30;29;59;SEC_602
2011;207;00-02;12;13;25;SEC_207
2011;229;65-74;34;26;60;SEC_229
2011;402;00-02;13;13;26;SEC_402
2011;201;65-74;50;36;86;SEC_201
2011;132;03-11;98;71;169;SEC_132
2011;228;35-49;102;108;210;SEC_228
2011;521;50-64;130;96;226;SEC_521
2011;133;00-02;17;11;28;SEC_133
2011;110;18-24;38;36;74;SEC_110
2011;508;50-64;46;38;84;SEC_508
2011;304;00-02;44;55;99;SEC_304
2011;128;25-34;82;95;177;SEC_128
2011;602;00-02;5;7;12;SEC_602
2011;630;35-49;76;97;173;SEC_630
2011;237;00-02;24;32;56;SEC_237
2011;538;50-64;99;84;183;SEC_538
2011;631;16-17;8;7;15;SEC_631
2011;247;16-17;10;11;21;SEC_247
2011;323;16-17;30;30;60;SEC_323
2011;203;18-24;36;31;67;SEC_203
2011;114;16-17;11;13;24;SEC_114
2011;528;50-64;96;78;174;SEC_528
2011;320;18-24;30;32;62;SEC_320
2011;508;12-15;5;12;17;SEC_508
2011;631;75 i +;54;29;83;SEC_631
2011;422;50-64;79;89;168;SEC_422
2011;611;35-49;231;285;516;SEC_611
2011;314;18-24;67;114;181;SEC_314
2011;120;03-11;55;91;146;SEC_120
2011;219;50-64;95;81;176;SEC_219
2011;133;12-15;17;14;31;SEC_133
2011;417;50-64;52;45;97;SEC_417
2011;430;00-02;21;19;40;SEC_430
2011;322;25-34;127;109;236;SEC_322
2011;248;50-64;106;97;203;SEC_248
2011;526;16-17;9;13;22;SEC_526
2011;236;03-11;51;43;94;SEC_236
2011;221;75 i +;75;47;122;SEC_221
2011;136;16-17;11;3;14;SEC_136
2011;629;35-49;54;74;128;SEC_629
2011;511;35-49;96;98;194;SEC_511
