AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2020;614;18-24;29;31;60;SEC_614
2020;624;16-17;11;6;17;SEC_624
2020;223;18-24;50;51;101;SEC_223
2020;122;16-17;13;9;22;SEC_122
2020;602;00-02;9;14;23;SEC_602
2020;427;25-34;145;130;275;SEC_427
2020;407;50-64;98;100;198;SEC_407
2020;435;16-17;13;6;19;SEC_435
2020;525;18-24;44;28;72;SEC_525
2020;101;65-74;77;69;146;SEC_101
2020;425;75 i +;70;43;113;SEC_425
2020;411;75 i +;101;69;170;SEC_411
2020;109;25-34;68;65;133;SEC_109
2020;533;25-34;139;160;299;SEC_533
2020;308;16-17;26;28;54;SEC_308
2020;529;50-64;128;100;228;SEC_529
2020;615;75 i +;90;64;154;SEC_615
2020;632;50-64;87;79;166;SEC_632
2020;239;12-15;14;12;26;SEC_239
2020;524;35-49;191;176;367;SEC_524
2020;606;18-24;36;44;80;SEC_606
2020;115;35-49;159;164;323;SEC_115
2020;612;18-24;30;41;71;SEC_612
2020;317;00-02;20;16;36;SEC_317
2020;328;03-11;138;157;295;SEC_328
2020;514;65-74;44;34;78;SEC_514
2020;614;75 i +;89;67;156;SEC_614
2020;111;75 i +;78;52;130;SEC_111
2020;304;25-34;170;146;316;SEC_304
2020;506;75 i +;135;104;239;SEC_506
2020;102;50-64;145;138;283;SEC_102
2020;612;03-11;36;22;58;SEC_612
2020;328;18-24;67;45;112;SEC_328
2020;117;35-49;200;204;404;SEC_117
2020;521;16-17;6;14;20;SEC_521
2020;420;65-74;95;70;165;SEC_420
2020;529;25-34;112;102;214;SEC_529
2020;625;25-34;41;49;90;SEC_625
2020;313;65-74;134;112;246;SEC_313
2020;214;65-74;72;49;121;SEC_214
2020;630;00-02;6;6;12;SEC_630
2020;306;35-49;178;190;368;SEC_306
2020;632;16-17;9;17;26;SEC_632
2020;106;75 i +;80;70;150;SEC_106
2020;107;75 i +;118;79;197;SEC_107
2020;534;50-64;82;81;163;SEC_534
2020;228;16-17;25;23;48;SEC_228
2020;122;12-15;17;20;37;SEC_122
2020;105;12-15;30;26;56;SEC_105
2020;320;03-11;24;20;44;SEC_320
2020;608;00-02;15;10;25;SEC_608
2020;133;25-34;62;58;120;SEC_133
2020;403;03-11;50;58;108;SEC_403
2020;621;35-49;154;171;325;SEC_621
2020;605;12-15;36;30;66;SEC_605
2020;104;00-02;8;14;22;SEC_104
2020;605;50-64;173;137;310;SEC_605
2020;226;50-64;190;161;351;SEC_226
